Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Voltage (V),Voltage (V)
11/18/18 1:30,43.4,0.131,0.006
11/18/18 1:30,43.6,0.131,0.005
11/18/18 1:30,43.8,0.135,0.005
11/18/18 1:30,44,0.137,0.005
11/18/18 1:30,44.2,0.132,0.005
11/18/18 1:30,44.4,0.132,0.005
11/18/18 1:30,44.6,0.136,0.005
11/18/18 1:30,44.8,0.137,0.005
11/18/18 1:30,45,0.137,0.005
11/18/18 1:30,45.2,0.136,0.005
11/18/18 1:30,45.4,0.135,0.005
11/18/18 1:30,45.6,0.126,0.005
11/18/18 1:30,45.8,0.133,0.005
11/18/18 1:30,46,0.146,0.005
11/18/18 1:30,46.2,0.145,0.006
11/18/18 1:30,46.4,0.166,0.005
11/18/18 1:30,46.6,0.161,0.005
11/18/18 1:30,46.8,0.157,0.006
11/18/18 1:30,47,0.168,0.007
11/18/18 1:30,47.2,0.156,0.005
11/18/18 1:30,47.4,0.148,0.005
11/18/18 1:30,47.6,0.135,0.006
11/18/18 1:30,47.8,0.126,0.006
11/18/18 1:30,48,0.135,0.006
11/18/18 1:30,48.2,0.151,0.007
11/18/18 1:30,48.4,0.142,0.007
11/18/18 1:30,48.6,0.151,0.005
11/18/18 1:30,48.8,0.145,0.006
11/18/18 1:30,49,0.136,0.005
11/18/18 1:30,49.2,0.145,0.005
11/18/18 1:30,49.4,0.145,0.006
11/18/18 1:30,49.6,0.137,0.005
11/18/18 1:30,49.8,0.126,0.006
11/18/18 1:30,50,0.123,0.007
11/18/18 1:30,50.2,0.122,0.007
11/18/18 1:30,50.4,0.112,0.005
11/18/18 1:30,50.6,0.112,0.005
11/18/18 1:30,50.8,0.107,0.005
11/18/18 1:30,51,0.107,0.005
11/18/18 1:30,51.2,0.11,0.006
11/18/18 1:30,51.4,0.111,0.007
11/18/18 1:30,51.6,0.122,0.007
11/18/18 1:30,51.8,0.117,0.005
11/18/18 1:30,52,0.112,0.385
11/18/18 1:30,52.2,0.107,0.006
11/18/18 1:30,52.4,0.117,0.007
11/18/18 1:30,52.6,0.121,0.006
11/18/18 1:30,52.8,0.122,0.005
11/18/18 1:30,53,0.129,0.006
11/18/18 1:30,53.2,0.125,0.005
11/18/18 1:30,53.4,0.126,0.005
11/18/18 1:30,53.6,0.137,0.005
11/18/18 1:30,53.8,0.142,0.005
11/18/18 1:30,54,0.145,0.006
11/18/18 1:30,54.2,0.132,0.006
11/18/18 1:30,54.4,0.134,0.006
11/18/18 1:30,54.6,0.145,0.007
11/18/18 1:30,54.8,0.143,0.005
11/18/18 1:30,55,0.135,0.005
11/18/18 1:30,55.2,0.14,0.005
11/18/18 1:30,55.4,0.136,0.006
11/18/18 1:30,55.6,0.123,0.007
11/18/18 1:30,55.8,0.138,0.005
11/18/18 1:30,56,0.142,0.007
11/18/18 1:30,56.2,0.157,0.006
11/18/18 1:30,56.4,0.154,0.006
11/18/18 1:30,56.6,0.149,0.005
11/18/18 1:30,56.8,0.152,0.006
11/18/18 1:30,57,0.156,0.006
11/18/18 1:30,57.2,0.154,0.006
11/18/18 1:30,57.4,0.148,0.007
11/18/18 1:30,57.6,0.145,0.007
11/18/18 1:30,57.8,0.148,0.006
11/18/18 1:30,58,0.146,0.005
11/18/18 1:30,58.2,0.131,0.006
11/18/18 1:30,58.4,0.137,0.006
11/18/18 1:30,58.6,0.131,0.005
11/18/18 1:30,58.8,0.131,0.006
11/18/18 1:30,59,0.125,0.006
11/18/18 1:30,59.2,0.139,0.006
11/18/18 1:30,59.4,0.145,0.005
11/18/18 1:30,59.6,0.147,0.006
11/18/18 1:30,59.8,0.142,0.005
11/18/18 1:30,60,0.131,0.006
